chr,start,end
chr1,59998349,60093784
chr1,60093790,60194170
chr1,60194195,60283876
chr1,60283885,60380002
chr1,60380005,60478981
chr1,60478982,60574962
chr1,60574962,60674945
chr1,60674946,60774248
chr1,60774250,60870576
chr1,60870588,60966011
chr1,60966014,61057547
chr1,61057547,61152984
chr1,61153021,61250407
chr1,61250407,61348018
chr1,61348020,61447221
chr1,61447224,61544097
chr1,61544111,61647191
chr1,61647207,61737948
chr1,61737971,61831189
chr1,61831200,61931108
chr1,61931109,62026286
chr1,62026399,62123605
chr1,62123622,62202509
chr1,62202516,62286122
chr1,62286123,62381118
chr1,62381119,62476863
chr1,62476912,62580078
chr1,62580089,62682519
chr1,62682523,62776719
chr1,62776725,62885163
chr1,62885164,62987013
chr1,62987023,63075480
chr1,63075484,63176223
chr1,63176224,63274786
chr1,63274804,63367092
chr1,63367099,63467032
chr1,63467033,63565082
chr1,63565082,63667227
chr1,63667230,63764417
chr1,63764418,63869126
chr1,63869137,63977736
chr1,63977752,64087400
chr1,64087422,64193682
chr1,64193692,64292475
chr1,64292493,64386466
chr1,64386475,64481029
chr1,64481065,64588093
chr1,64588096,64692070
chr1,64692133,64798173
chr1,64798177,64901371
chr1,64901373,64999756
chr1,64999757,65094295
chr1,65094309,65183256
chr1,65183268,65285331
chr1,65285347,65390228
chr1,65390239,65492813
chr1,65492813,65589694
chr1,65589698,65690940
chr1,65690952,65794875
chr1,65794876,65899069
chr1,65899082,66004744
chr1,66004780,66104677
chr1,66104679,66199320
chr1,66199328,66298350
chr1,66298400,66401675
chr1,66401676,66489879
chr1,66489889,66585041
chr1,66585054,66681511
chr1,66681517,66782047
chr1,66782072,66876856
chr1,66876860,66975983
chr1,66975983,67076868
chr1,67076874,67180455
chr1,67180466,67279212
chr1,67279213,67378417
chr1,67378430,67469331
chr1,67469349,67557785
chr1,67557794,67656541
chr1,67656543,67754321
chr1,67754330,67852682
chr1,67852691,67955272
chr1,67955282,68055618
chr1,68055671,68149623
chr1,68149626,68247803
chr1,68247812,68339060
chr1,68339061,68437226
chr1,68437233,68543774
chr1,68543786,68644862
chr1,68644872,68737872
chr1,68737880,68836948
chr1,68836952,68926458
chr1,68926464,69021676
chr1,69021679,69114626
chr1,69114626,69213882
chr1,69213898,69314695
chr1,69314703,69416766
chr1,69416770,69515763
chr1,69515785,69608852
chr1,69608852,69707021
chr1,69707022,69806777
chr1,69806797,69902480
chr1,69902493,69995038
chr1,69995041,70107576
chr1,70107577,70210864
chr1,70210874,70305998
chr1,70306017,70404825
chr1,70404872,70506288
chr1,70506289,70600472
chr1,70600473,70701366
chr1,70701370,70800398
chr1,70800400,70902873
chr1,70902875,71001422
chr1,71001456,71097506
chr1,71097545,71190375
chr1,71190386,71290978
chr1,71290983,71392264
chr1,71392270,71496651
chr1,71496652,71593542
chr1,71593545,71688462
chr1,71688462,71779232
chr1,71779233,71872251
chr1,71872257,71958816
chr1,71958819,72054331
chr1,72054332,72148061
chr1,72148062,72243851
chr1,72243871,72374361
chr1,72374366,72469209
chr1,72469225,72567681
chr1,72567682,72668523
chr1,72668538,72769101
chr1,72769123,72865583
chr1,72865583,72963182
chr1,72963184,73058668
chr1,73058674,73151503
chr1,73151504,73248814
chr1,73248815,73344933
chr1,73344942,73441882
chr1,73441921,73541899
chr1,73541911,73640255
chr1,73640267,73733505
chr1,73733513,73825764
chr1,73825764,73919691
chr1,73919699,74003249
chr1,74003249,74098533
chr1,74098549,74192085
chr1,74192089,74289161
chr1,74289161,74387897
chr1,74387927,74485518
chr1,74485527,74577969
chr1,74577974,74679848
chr1,74679848,74778087
chr1,74778090,74880794
chr1,74880802,74973700
chr1,74973734,75074412
chr1,75074460,75176153
chr1,75176170,75281633
chr1,75281634,75382731
chr1,75382737,75479952
chr1,75479962,75587610
chr1,75587611,75682205
chr1,75682214,75774219
chr1,75774223,75872718
chr1,75872721,75969770
chr1,75969778,76074715
chr1,76074718,76177150
chr1,76177151,76281860
chr1,76281862,76388963
chr1,76388989,76490204
chr1,76490209,76595178
chr1,76595196,76695553
chr1,76695558,76789572
chr1,76789572,76889746
chr1,76889759,76987044
chr1,76987060,77087471
chr1,77087492,77192230
chr1,77192240,77302712
chr1,77302713,77398943
chr1,77398975,77498601
chr1,77498607,77601864
chr1,77601871,77704150
chr1,77704153,77801215
chr1,77801217,77898745
chr1,77898749,77996489
chr1,77996505,78102897
chr1,78102899,78205123
chr1,78205125,78305777
chr1,78305799,78413619
chr1,78413641,78518522
chr1,78518530,78616349
chr1,78616368,78712798
chr1,78712805,78810599
chr1,78810601,78901522
chr1,78901528,78999745
chr1,78999762,79089185
chr1,79089188,79182073
chr1,79182076,79276629
chr1,79276636,79370697
chr1,79370702,79470067
chr1,79470068,79565347
chr1,79565353,79662641
chr1,79662652,79756480
chr1,79756481,79861289
chr1,79861292,79947666
chr1,79947674,80046505
chr1,80046507,80134789
chr1,80134792,80227135
chr1,80227144,80325361
chr1,80325393,80408202
chr1,80408207,80499595
chr1,80499596,80592067
chr1,80592076,80691904
chr1,80691906,80779719
chr1,80779744,80866704
chr1,80866712,80950841
chr1,80950841,81047394
chr1,81047417,81146757
chr1,81146777,81245388
chr1,81245403,81334114
chr1,81334119,81423615
chr1,81423616,81515573
chr1,81515590,81614846
chr1,81614847,81713053
chr1,81713067,81809418
chr1,81809418,81909209
chr1,81909209,82008253
chr1,82008267,82105249
chr1,82105250,82200090
chr1,82200114,82295293
chr1,82295299,82391565
chr1,82391571,82487093
chr1,82487093,82583133
chr1,82583143,82676125
chr1,82676126,82768091
chr1,82768108,82868873
chr1,82868884,82973415
chr1,82973419,83077052
chr1,83077076,83178397
chr1,83178416,83272516
chr1,83272517,83368511
chr1,83368511,83473480
chr1,83473480,83581167
chr1,83581171,83682417
chr1,83682424,83788971
chr1,83788973,83894086
chr1,83894090,84004317
chr1,84004318,84107708
chr1,84107711,84217892
chr1,84217901,84314227
chr1,84314263,84423941
chr1,84423948,84525278
chr1,84525280,84636931
chr1,84636934,84741066
chr1,84741069,84842003
chr1,84842004,84943203
chr1,84943213,85047776
chr1,85047783,85154422
chr1,85154423,85258726
chr1,85258767,85367125
chr1,85367140,85473647
chr1,85473655,85577225
chr1,85577232,85678794
chr1,85678818,85779735
chr1,85779759,85875711
chr1,85875715,85975799
chr1,85975801,86078680
chr1,86078692,86172467
chr1,86172482,86272515
chr1,86272525,86379956
chr1,86380015,86487072
chr1,86487105,86591319
chr1,86591341,86686131
chr1,86686135,86793864
chr1,86793868,86884368
chr1,86884370,86979226
chr1,86979233,87080686
chr1,87080689,87189231
chr1,87189240,87288982
chr1,87288982,87390978
chr1,87391003,87497186
chr1,87497200,87599973
chr1,87599990,87696468
chr1,87696473,87795533
chr1,87795549,87898252
chr1,87898279,88009086
chr1,88009087,88124480
chr1,88124503,88233530
chr1,88233549,88340803
chr1,88340817,88446884
chr1,88446938,88559297
chr1,88559328,88665475
chr1,88665479,88766144
chr1,88766146,88863344
chr1,88863348,88964380
chr1,88964408,89065680
chr1,89065681,89168837
chr1,89168838,89274108
chr1,89274112,89378810
chr1,89378813,89480569
chr1,89480582,89586187
chr1,89586194,89695110
chr1,89695113,89797400
chr1,89797402,89900610
chr1,89900623,90010284
chr1,90010306,90105280
chr1,90105304,90206077
chr1,90206084,90308756
chr1,90308757,90417082
chr1,90417086,90528879
chr1,90528880,90636944
chr1,90636945,90737452
chr1,90737469,90838189
chr1,90838190,90941795
chr1,90941798,91040094
chr1,91040096,91128931
chr1,91128933,91219409
chr1,91219410,91315411
chr1,91315417,91419823
chr1,91419841,91509756
chr1,91509756,91614521
chr1,91614527,91713196
chr1,91713209,91816839
chr1,91816840,91913910
chr1,91913912,92000869
chr1,92000875,92106562
chr1,92106578,92211588
chr1,92211588,92309556
chr1,92309557,92420755
chr1,92420756,92519520
chr1,92519527,92610657
chr1,92610659,92707653
chr1,92707666,92800455
chr1,92800465,92892443
chr1,92892448,92997798
chr1,92997817,93091701
chr1,93091704,93196546
chr1,93196555,93303058
chr1,93303060,93403275
chr1,93403284,93502287
chr1,93502287,93598262
chr1,93598262,93708641
chr1,93708647,93811765
chr1,93811802,93909348
chr1,93909357,94013292
chr1,94013315,94113613
chr1,94113623,94213731
chr1,94213740,94320893
chr1,94320919,94423957
chr1,94423960,94524509
chr1,94524509,94622865
chr1,94622870,94723554
chr1,94723561,94827665
chr1,94827678,94926969
chr1,94926978,95032011
chr1,95032018,95130448
chr1,95130448,95235229
chr1,95235231,95336267
chr1,95336276,95441889
chr1,95441896,95547604
chr1,95547607,95652618
chr1,95652621,95755587
chr1,95755588,95852131
chr1,95852138,95950058
chr1,95950059,96044236
chr1,96044242,96141712
chr1,96141713,96239756
chr1,96239758,96333657
chr1,96333658,96432738
chr1,96432746,96526614
chr1,96526618,96617041
chr1,96617073,96710768
chr1,96710796,96796485
chr1,96796517,96892850
chr1,96892851,96989860
chr1,96989885,97087124
chr1,97087125,97182934
chr1,97182966,97280326
chr1,97280330,97364433
chr1,97364437,97463260
chr1,97463267,97558969
chr1,97558979,97658558
chr1,97658565,97755188
chr1,97755194,97856421
chr1,97856425,97956409
chr1,97956412,98052040
chr1,98052055,98147167
chr1,98147173,98240623
chr1,98240624,98337588
chr1,98337594,98431729
chr1,98431746,98519783
chr1,98519787,98613765
chr1,98613766,98712730
chr1,98712765,98816037
chr1,98816042,98920085
chr1,98920095,99026349
chr1,99026352,99121133
chr1,99121134,99220349
chr1,99220363,99321948
chr1,99321966,99416233
chr1,99416240,99515362
chr1,99515362,99617299
chr1,99617307,99722662
chr1,99722667,99826079
chr1,99826082,99924815
chr1,99924818,100032555
chr1,100032560,100135179
chr1,100135179,100247717
chr1,100247717,100350339
chr1,100350388,100455598
chr1,100455614,100564144
chr1,100564158,100654308
chr1,100654312,100746903
chr1,100746906,100843962
chr1,100843963,100951861
chr1,100951866,101066177
chr1,101066207,101169064
chr1,101169071,101255616
chr1,101255619,101349707
chr1,101349708,101440724
chr1,101440725,101533466
chr1,101533470,101626489
chr1,101626489,101724857
chr1,101724859,101826829
chr1,101826830,101927797
chr1,101927812,102025071
chr1,102025075,102121667
chr1,102121682,102218927
chr1,102218936,102310151
chr1,102310155,102402110
chr1,102402114,102490762
chr1,102490767,102583596
chr1,102583603,102678291
chr1,102678297,102770446
chr1,102770481,102854568
chr1,102854571,102946583
chr1,102946586,103044299
chr1,103044340,103136723
chr1,103136727,103221579
chr1,103221591,103308739
chr1,103308759,103384891
chr1,103384900,103478751
chr1,103478761,103574970
chr1,103574971,103760520
chr1,103760523,103848315
chr1,103848335,103929953
chr1,103929954,104022273
chr1,104022274,104114076
chr1,104114077,104205759
chr1,104205763,104293384
chr1,104293391,104381428
chr1,104381429,104465050
chr1,104465061,104549765
chr1,104549770,104630053
chr1,104630054,104718064
chr1,104718069,104808525
chr1,104808528,104888727
chr1,104888731,104971555
chr1,104971602,105064046
chr1,105064048,105148558
chr1,105148558,105229489
chr1,105229492,105313622
chr1,105313624,105398215
chr1,105398233,105488980
chr1,105489006,105573068
chr1,105573072,105659535
chr1,105659544,105745603
chr1,105745625,105826512
chr1,105826518,105913358
chr1,105913360,105992627
chr1,105992639,106082947
chr1,106082948,106167995
chr1,106167998,106254815
chr1,106254834,106339238
chr1,106339264,106427079
chr1,106427080,106517485
chr1,106517489,106607690
chr1,106607698,106700803
chr1,106700811,106801373
chr1,106801387,106902044
chr1,106902047,107004721
chr1,107004722,107105231
chr1,107105242,107208082
chr1,107208124,107314991
chr1,107315001,107415883
chr1,107415890,107517967
chr1,107517967,107617113
chr1,107617119,107719820
chr1,107719844,107819770
chr1,107819786,107924392
chr1,107924392,108023236
chr1,108023236,108123055
chr1,108123055,108224560
chr1,108224598,108374919
chr1,108374919,108523873
chr1,108523873,108625533
chr1,108625556,108718945
chr1,108718967,108819748
